Indeks;NUTId;Sezon;ImieNazwisko;Pozycja;Druzyna;Wynagrodzenie;Mecze;Wszystkie_zbiorki;Asysty;Przechwyty;Bloki;Straty;Punkty
6934;1;2020/21;Dwight Powell; C;Dallas Mavericks;11080125;58;234;63;36;30;40;342
6936;1;2020/21;Josh Richardson; SG;Dallas Mavericks;10865952;59;195;153;61;24;79;715
6968;1;2020/21;Maxi Kleber; PF;Dallas Mavericks;8325000;50;260;68;24;35;30;353
6972;1;2020/21;Luka Doncic; PG;Dallas Mavericks;8049360;66;527;567;64;36;281;1830
7041;1;2020/21;Willie Cauley-Stein; C;Dallas Mavericks;4100000;53;236;35;21;43;29;280
7046;1;2020/21;Dorian Finney-Smith; PF;Dallas Mavericks;4000000;60;326;102;52;25;48;590
7069;1;2020/21;Boban Marjanovic; C;Dallas Mavericks;3500000;33;128;10;2;6;12;156
7084;1;2020/21;Trey Burke; PG;Dallas Mavericks;3000000;62;54;81;36;7;33;411
7090;1;2020/21;Josh Green; SG;Dallas Mavericks;2816760;39;78;28;16;3;17;101
7157;1;2020/21;Jalen Brunson; PG;Dallas Mavericks;1663861;68;231;239;35;1;80;857
7234;1;2020/21;Tyrell Terry; PG;Dallas Mavericks;1289846;11;6;6;5;0;2;11
7337;1;2021/22;Tim Hardaway Jr.;SF;Dallas Mavericks;21308816;42;156;92;38;6;34;598
7359;1;2021/22;Spencer Dinwiddie;PG;Dallas Mavericks;17142857;67;279;346;44;13;104;919
7366;1;2021/22;Davis Bertans;SF;Dallas Mavericks;16000000;56;117;31;17;12;19;311
7399;1;2021/22;Dwight Powell;C;Dallas Mavericks;11080125;82;404;97;37;39;64;717
7407;1;2021/22;Luka Doncic;PG;Dallas Mavericks;10174391;65;593;568;75;36;292;1847
7419;1;2021/22;Reggie Bullock;SF;Dallas Mavericks;9536000;68;241;83;41;14;40;583
7425;1;2021/22;Maxi Kleber;PF;Dallas Mavericks;8975000;59;350;68;30;58;47;411
7528;1;2021/22;Dorian Finney-Smith;PF;Dallas Mavericks;4000000;80;375;150;88;39;80;880
7544;1;2021/22;Boban Marjanovic;C;Dallas Mavericks;3500000;23;39;3;0;3;15;98
7556;1;2021/22;Trey Burke;PG;Dallas Mavericks;3150000;42;33;57;12;0;26;214
7560;1;2021/22;Sterling Brown;SF;Dallas Mavericks;3000000;49;149;34;14;7;23;160
7563;1;2021/22;Josh Green;SG;Dallas Mavericks;2957520;67;161;79;45;14;44;319
7622;1;2021/22;Jalen Brunson;PG;Dallas Mavericks;1802057;79;309;377;66;3;124;1285
7695;1;2021/22;Frank Ntilikina;PG;Dallas Mavericks;1669178;58;79;69;27;7;31;240
7741;1;2021/22;Marquese Chriss;SF;Dallas Mavericks;958529;34;103;17;13;12;17;154
40;1;2003/04;Maurice Taylor; PF;Houston Rockets;7800000;75;384;107;43;47;149;862
46;1;2003/04;Kelvin Cato; C;Houston Rockets;7344000;69;472;72;52;96;84;418
61;1;2003/04;Steve Francis; PG;Houston Rockets;5720000;79;433;493;139;35;294;1310
71;1;2003/04;Clarence Weatherspoon; PF;Houston Rockets;5445000;52;204;30;30;15;35;261
78;1;2003/04;Cuttino Mobley; SG;Houston Rockets;5393000;80;362;258;107;33;180;1260
89;1;2003/04;Mark Jackson; PG;Houston Rockets;4580000;42;70;119;17;1;53;103
148;1;2003/04;Scott Padgett; PF;Houston Rockets;2102000;58;139;23;12;13;22;200
179;1;2004/05;Dikembe Mutombo; C;Houston Rockets;19684000;80;426;10;16;101;51;322
191;1;2004/05;Vin Baker; PF;Houston Rockets;14625000;27;39;10;2;4;17;35
192;1;2004/05;Vin Baker; PF;Houston Rockets;14625000;3;2;1;0;0;2;2
193;1;2004/05;Vin Baker; PF;Houston Rockets;14625000;24;37;9;2;4;15;33
200;1;2004/05;Tracy McGrady; SG;Houston Rockets;14487000;78;484;448;135;52;201;2003
250;1;2004/05;Clarence Weatherspoon; PF;Houston Rockets;5899000;40;122;17;9;6;15;123
278;1;2004/05;Moochie Norris; PG;Houston Rockets;3600000;38;46;39;18;2;27;90
279;1;2004/05;Moochie Norris; PG;Houston Rockets;3600000;6;4;5;1;0;2;8
280;1;2004/05;Moochie Norris; PG;Houston Rockets;3600000;32;42;34;17;2;25;82
344;1;2005/06;Tracy McGrady; SG;Houston Rockets;15694250;47;307;225;59;41;120;1147
433;1;2005/06;Juwan Howard; PF;Houston Rockets;5900400;80;535;112;49;8;133;942
437;1;2005/06;Yao Ming; C;Houston Rockets;5594906;57;581;85;30;94;147;1271
451;1;2005/06;David Wesley; SG;Houston Rockets;5075000;71;178;204;59;6;120;702
457;1;2005/06;Stromile Swift; PF;Houston Rockets;5000000;66;291;25;38;50;91;586
492;1;2005/06;Rafer Alston; PG;Houston Rockets;3850000;63;255;425;101;15;157;761
572;1;2005/06;Dikembe Mutombo; C;Houston Rockets;2000000;64;306;4;17;57;35;169
581;1;2005/06;Jon Barry; SG;Houston Rockets;1800000;20;31;26;13;1;22;86
649;1;2005/06;Luther Head; PG;Houston Rockets;975600;80;266;215;89;9;119;707
661;1;2005/06;Ryan Bowen; SF;Houston Rockets;900498;68;88;24;21;6;13;88
667;1;2005/06;Keith Bogans; SG;Houston Rockets;869373;72;255;128;71;9;90;622
671;1;2005/06;Maciej Lampe; PF;Houston Rockets;858534;6;9;2;0;0;3;4
686;1;2005/06;Richie Frahm; SG;Houston Rockets;745248;33;33;21;4;2;8;108
695;1;2005/06;Rick Brunson; PG;Houston Rockets;719373;27;22;35;8;1;22;54
747;1;2005/06;Gerald Fitch; G;Houston Rockets;398762;18;30;33;7;5;15;84
753;1;2005/06;Chuck Hayes; PF;Houston Rockets;248118;40;179;14;26;14;12;147
762;1;2006/07;Tracy McGrady; SG;Houston Rockets;16901500;71;378;458;92;36;213;1747
779;1;2006/07;Yao Ming; C;Houston Rockets;12455000;48;452;94;17;94;167;1202
844;1;2006/07;Juwan Howard; PF;Houston Rockets;6392100;80;470;131;29;8;112;773
873;1;2006/07;Shane Battier; SF;Houston Rockets;5393300;82;338;175;79;60;72;829
899;1;2006/07;Rafer Alston; PG;Houston Rockets;4200000;82;282;444;129;10;170;1088
948;1;2006/07;Jake Tsakalidis; C;Houston Rockets;2900000;36;104;5;8;12;24;84
981;1;2006/07;Dikembe Mutombo; C;Houston Rockets;2210000;75;488;13;22;76;38;230
987;1;2006/07;Bonzi Wells; SG;Houston Rockets;2115000;28;120;31;24;13;57;217
1024;1;2006/07;Kirk Snyder; SG;Houston Rockets;1537440;39;83;39;11;12;26;192
1056;1;2006/07;Luther Head; PG;Houston Rockets;1048800;80;252;194;76;5;137;872
1113;1;2006/07;John Lucas III; PG;Houston Rockets;700000;47;36;33;17;0;15;154
1131;1;2006/07;Chuck Hayes; PF;Houston Rockets;664209;78;521;47;70;18;64;439
1138;1;2006/07;Steve Novak; SF;Houston Rockets;600000;35;26;6;5;0;4;51
1189;1;2007/08;Tracy McGrady; SG;Houston Rockets;18 257 750;66;339;387;68;30;160;1427
1202;1;2007/08;Yao Ming; C;Houston Rockets;13 762 775;55;594;129;25;111;183;1209
1284;1;2007/08;Shane Battier; SF;Houston Rockets;5 883 600;80;407;155;77;90;78;744
1295;1;2007/08;Bobby Jackson; PG;Houston Rockets;5 670 000;72;181;139;45;5;59;553
1317;1;2007/08;Rafer Alston; PG;Houston Rockets;4 550 000;74;260;392;98;18;160;969
1375;1;2007/08;Luis Scola; F;Houston Rockets;2 916 667;82;525;106;60;19;105;847
1399;1;2007/08;Steve Francis; PG;Houston Rockets;2 439 333;10;23;30;9;5;14;55
1437;1;2007/08;Chuck Hayes; PF;Houston Rockets;1 750 000;79;427;91;85;43;62;237
1455;1;2007/08;Gerald Green; G;Houston Rockets;1 440 960;30;64;29;8;4;32;153
1477;1;2007/08;Luther Head; PG;Houston Rockets;1 122 000;73;135;138;44;9;70;557
1492;1;2007/08;Aaron Brooks; G;Houston Rockets;972 720;51;56;87;13;5;44;264
1498;1;2007/08;Justin Williams; PF;Houston Rockets;862 456;23;49;0;5;5;4;34
1528;1;2007/08;Dikembe Mutombo; C;Houston Rockets;770 610;39;199;5;11;48;17;118
1545;1;2007/08;Steve Novak; SF;Houston Rockets;687 456;35;35;6;2;3;4;135
1566;1;2007/08;Carl Landry; PF;Houston Rockets;427 163;42;207;21;17;7;26;342
1593;1;2007/08;Loren Woods; C;Houston Rockets;142 201;7;1;2;0;0;0;6
1596;1;2007/08;Mike Harris; SF;Houston Rockets;100 509;17;54;3;6;3;9;62
1614;1;2008/09;Tracy McGrady; SG;Houston Rockets;20370437;35;154;175;42;15;69;545
1624;1;2008/09;Yao Ming; C;Houston Rockets;15070550;77;761;137;30;150;234;1514
1697;1;2008/09;Metta World Peace; SF;Houston Rockets;7400000;69;359;229;105;24;140;1181
1708;1;2008/09;Shane Battier; SF;Houston Rockets;6448900;60;285;137;48;54;49;436
1791;1;2008/09;Brian Cook; PF;Houston Rockets;3500000;30;32;5;3;3;13;74
1805;1;2008/09;Luis Scola; F;Houston Rockets;3100667;82;720;123;68;11;123;1044
1810;1;2008/09;Carl Landry; PF;Houston Rockets;3000000;69;343;39;26;31;68;638
1863;1;2008/09;Brent Barry; SG;Houston Rockets;1910000;56;94;78;24;3;48;208
1872;1;2008/09;Chuck Hayes; PF;Houston Rockets;1768000;71;250;42;34;19;25;91
1913;1;2008/09;Kyle Lowry; PG;Houston Rockets;1163520;77;189;275;69;17;117;584
1918;1;2008/09;Aaron Brooks; G;Houston Rockets;1045560;80;157;238;46;8;125;894
1939;1;2008/09;Joey Dorsey; PF;Houston Rockets;816500;3;1;1;0;0;0;2
1955;1;2008/09;Von Wafer; SG;Houston Rockets;797581;63;113;71;40;8;59;610
2006;1;2008/09;Dikembe Mutombo; C;Houston Rockets;502007;9;33;0;0;11;6;16
2027;1;2008/09;James White; SG;Houston Rockets;184157;4;0;1;1;1;3;7
2095;1;2009/10;Kevin Martin; SG;Houston Rockets;9680170;46;164;111;46;6;92;946
2122;1;2009/10;Shane Battier; SF;Houston Rockets;6939200;67;312;164;53;76;64;534
2133;1;2009/10;Jared Jeffries; PF;Houston Rockets;6466600;70;288;101;62;71;76;372
2148;1;2009/10;Trevor Ariza; SF;Houston Rockets;5854000;72;403;276;126;40;161;1072
2213;1;2009/10;Brian Cook; PF;Houston Rockets;3500000;15;9;1;0;2;6;21
2217;1;2009/10;Luis Scola; F;Houston Rockets;3284667;82;705;169;63;26;163;1329
2236;1;2009/10;Hilton Armstrong; PF;Houston Rockets;2801198;33;81;21;15;12;22;71
2248;1;2009/10;Jordan Hill; C;Houston Rockets;2483280;47;175;20;14;21;30;244
2253;1;2009/10;David Andersen; C;Houston Rockets;2314815;63;208;44;15;12;37;367
2260;1;2009/10;Chuck Hayes; PF;Houston Rockets;2147750;82;465;139;73;43;74;358
2271;1;2009/10;Kyle Lowry; PG;Houston Rockets;2034996;68;247;305;60;9;116;620
2328;1;2009/10;Aaron Brooks; G;Houston Rockets;1118520;82;215;434;69;14;232;1604
2414;1;2009/10;Chase Budinger; SF;Houston Rockets;725000;74;220;88;34;11;48;657
2415;1;2009/10;Jermaine Taylor; SG;Houston Rockets;725000;31;46;16;10;3;19;128
2466;1;2010/11;Yao Ming; C;Houston Rockets;17686100;5;27;4;0;8;7;51
2512;1;2010/11;Kevin Martin; SG;Houston Rockets;10600005;80;258;198;80;15;184;1876
2538;1;2010/11;Luis Scola; F;Houston Rockets;7775378;74;606;185;48;44;147;1352
2573;1;2010/11;Kyle Lowry; PG;Houston Rockets;5750000;75;309;500;102;23;158;1011
2596;1;2010/11;Hasheem Thabeet; C;Houston Rockets;4793280;47;75;4;9;16;17;53
2604;1;2010/11;Brad Miller; C;Houston Rockets;4400000;60;222;145;28;21;54;382
2670;1;2010/11;Jordan Hill; C;Houston Rockets;2669520;72;306;29;14;52;62;406
2690;1;2010/11;Terrence Williams; SG;Houston Rockets;2214480;21;51;38;9;0;33;106
2705;1;2010/11;Chuck Hayes; PF;Houston Rockets;1972500;74;599;202;79;49;86;582
2706;1;2010/11;Goran Dragic; PG;Houston Rockets;1972000;70;142;204;50;10;117;523
2712;1;2010/11;Patrick Patterson; PF;Houston Rockets;1823280;52;200;41;17;37;31;328
2740;1;2010/11;Courtney Lee; G;Houston Rockets;1352640;81;209;100;58;18;68;672
2762;1;2010/11;DeMarre Carroll; F;Houston Rockets;1085400;12;8;4;1;1;0;10
2786;1;2010/11;Mike Harris; SF;Houston Rockets;854389;4;5;1;0;1;1;8
2826;1;2010/11;Chase Budinger; SF;Houston Rockets;780871;78;281;127;41;18;67;765
2933;1;2011/12;Kevin Martin; SG;Houston Rockets;11519840;40;106;110;28;3;70;682
2934;1;2011/12;Marcus Camby; C;Houston Rockets;11227250;59;530;107;50;85;57;287
2953;1;2011/12;Luis Scola; F;Houston Rockets;8591793;66;428;140;35;24;153;1025
2975;1;2011/12;Samuel Dalembert; C;Houston Rockets;7000000;65;456;33;37;111;82;490
2996;1;2011/12;Kyle Lowry; PG;Houston Rockets;5750000;47;213;310;73;14;130;670
3122;1;2011/12;Courtney Lee; G;Houston Rockets;2225093;58;159;88;68;22;64;660
3131;1;2011/12;Goran Dragic; PG;Houston Rockets;2108000;66;168;351;85;10;157;775
3138;1;2011/12;Patrick Patterson; PF;Houston Rockets;1959960;64;286;53;27;36;49;490
3232;1;2011/12;Chase Budinger; SF;Houston Rockets;854389;58;217;74;29;7;55;558
3253;1;2011/12;Chandler Parsons; SF;Houston Rockets;850000;63;300;134;73;29;81;599
3295;1;2011/12;Greg Smith; PF;Houston Rockets;473604;8;20;1;2;5;1;14
3317;1;2011/12;Earl Boykins; PG;Houston Rockets;220487;8;11;17;1;0;7;39
3324;1;2011/12;Courtney Fortson; PG;Houston Rockets;156595;10;15;10;3;0;10;35
3410;1;2012/13;Jeremy Lin; G;Houston Rockets;8374646;82;247;497;134;29;236;1095
3411;1;2012/13;Omer Asik; C;Houston Rockets;8374646;82;956;75;46;87;173;832
3446;1;2012/13;James Harden; SG;Houston Rockets;5820417;78;379;455;142;38;295;2023
3519;1;2012/13;Thomas Robinson; F;Houston Rockets;3374640;70;315;46;41;26;88;333
3543;1;2012/13;Carlos Delfino; SG;Houston Rockets;3000000;67;220;135;68;9;72;708
3569;1;2012/13;Aaron Brooks; G;Houston Rockets;2400000;53;80;114;30;10;67;376
3657;1;2012/13;Chandler Parsons; SF;Houston Rockets;888250;76;404;269;75;32;147;1177
3711;1;2012/13;Greg Smith; PF;Houston Rockets;762195;70;321;25;18;40;41;421
3723;1;2012/13;James Anderson; SG;Houston Rockets;532737;39;72;42;15;5;25;149
3750;1;2012/13;Patrick Beverley; PG;Houston Rockets;281376;41;109;117;37;21;44;228
3760;1;2012/13;Tim Ohlbrecht; PF;Houston Rockets;144867;3;1;1;1;0;4;3
3780;1;2013/14;Dwight Howard; C;Houston Rockets;20513178;71;866;131;60;128;229;1297
3805;1;2013/14;James Harden; SG;Houston Rockets;13701250;73;344;446;115;29;265;1851
3842;1;2013/14;Jeremy Lin; G;Houston Rockets;8374646;71;187;294;68;27;176;890
3843;1;2013/14;Omer Asik; C;Houston Rockets;8374646;48;378;25;14;37;59;280
4048;1;2013/14;Jordan Hamilton; SG;Houston Rockets;1169880;60;194;52;44;20;46;404
4067;1;2013/14;Omri Casspi; F;Houston Rockets;947907;71;260;88;44;14;72;490
4071;1;2013/14;Chandler Parsons; SF;Houston Rockets;926500;74;409;298;88;29;144;1226
4113;1;2013/14;Patrick Beverley; PG;Houston Rockets;788872;56;196;151;77;23;66;573
4125;1;2013/14;Isaiah Canaan; G;Houston Rockets;570515;22;24;22;8;4;21;101
4141;1;2013/14;Robert Covington; PF;Houston Rockets;490180;7;5;0;2;0;1;16
4163;1;2013/14;Troy Daniels; G;Houston Rockets;158588;5;4;5;0;0;3;42
4178;1;2013/14;Greg Smith; PF;Houston Rockets;15605;11;27;0;1;2;5;38
4179;1;2013/14;Josh Powell; PF;Houston Rockets;13958;1;5;0;0;1;1;4
4184;1;2014/15;Dwight Howard; C;Houston Rockets;21436271;41;431;50;28;53;115;646
4208;1;2014/15;James Harden; SG;Houston Rockets;14728844;81;459;565;154;60;321;2217
4247;1;2014/15;Trevor Ariza; SF;Houston Rockets;8579089;82;459;209;152;17;141;1048
4288;1;2014/15;Jason Terry; G;Houston Rockets;5850313;77;121;147;66;19;74;541
4319;1;2014/15;Kostas Papanikolaou; SF;Houston Rockets;4797664;43;118;85;29;13;55;182
4320;1;2014/15;Corey Brewer; F;Houston Rockets;4702500;80;297;173;114;19;131;917
4428;1;2014/15;Josh Smith; PF;Houston Rockets;2077000;83;530;277;87;116;206;1027
4453;1;2014/15;Pablo Prigioni; PG;Houston Rockets;1662961;67;119;171;79;1;62;274
4482;1;2014/15;Clint Capela; C;Houston Rockets;1189200;12;36;2;1;9;5;32
4505;1;2014/15;Joey Dorsey; PF;Houston Rockets;948163;69;279;25;40;25;41;184
4533;1;2014/15;Patrick Beverley; PG;Houston Rockets;915243;56;237;192;59;23;83;568
4588;1;2014/15;Nick Johnson; G;Houston Rockets;507336;28;39;11;7;3;19;74
4644;1;2015/16;Dwight Howard; C;Houston Rockets;22359364;71;835;98;69;113;166;976
4668;1;2015/16;James Harden; SG;Houston Rockets;15756438;82;501;612;139;51;374;2376
4726;1;2015/16;Corey Brewer; F;Houston Rockets;8229375;82;199;109;84;19;78;590
4727;1;2015/16;Trevor Ariza; SF;Houston Rockets;8193030;81;366;188;160;26;113;1025
4752;1;2015/16;Patrick Beverley; PG;Houston Rockets;6486486;71;250;239;94;26;91;700
4910;1;2015/16;Sam Dekker; F;Houston Rockets;1646400;3;1;0;1;0;0;0
4941;1;2015/16;Clint Capela; C;Houston Rockets;1242720;77;494;47;59;92;60;542
4971;1;2015/16;Montrezl Harrell; C;Houston Rockets;1000000;39;65;17;11;11;17;140
4994;1;2015/16;Jason Terry; G;Houston Rockets;947276;72;79;103;47;9;49;422
5000;1;2015/16;Chuck Hayes; PF;Houston Rockets;947276;2;8;2;0;0;3;4
5015;1;2015/16;Josh Smith; PF;Houston Rockets;947276;55;192;90;34;47;77;332
5060;1;2015/16;Michael Beasley; F;Houston Rockets;306527;20;98;16;11;9;24;255
5073;1;2015/16;Andrew Goudelock; PG;Houston Rockets;200600;8;2;4;6;2;7;22
5090;1;2016/17;James Harden; SG;Houston Rockets;26540100;81;659;907;121;38;464;2356
5116;1;2016/17;Ryan Anderson; PF;Houston Rockets;18735364;72;330;68;31;14;55;979
5164;1;2016/17;Eric Gordon; SG;Houston Rockets;12385364;75;201;188;48;41;121;1217
5215;1;2016/17;Trevor Ariza; SF;Houston Rockets;7806971;80;458;175;147;20;73;936
5226;1;2016/17;Lou Williams; SG;Houston Rockets;7000000;81;202;239;80;20;160;1421
5242;1;2016/17;Patrick Beverley; PG;Houston Rockets;6000000;67;393;281;99;25;100;639
5377;1;2016/17;Sam Dekker; F;Houston Rockets;1720560;77;284;76;38;21;41;504
5402;1;2016/17;Clint Capela; C;Houston Rockets;1296240;65;526;63;34;79;87;818
5421;1;2016/17;Montrezl Harrell; C;Houston Rockets;1045000;58;219;64;20;42;44;527
5480;1;2016/17;Bobby Brown; PG;Houston Rockets;680534;25;6;14;1;0;5;62
5488;1;2016/17;Kyle Wiltjer; F;Houston Rockets;543471;14;10;2;3;1;5;13
5493;1;2016/17;Chinanu Onuaku; C;Houston Rockets;543471;5;10;3;3;1;4;14
5514;1;2016/17;Isaiah Taylor; G;Houston Rockets;255000;4;3;3;1;1;0;3
5527;1;2016/17;Troy Williams; F;Houston Rockets;76725;30;69;25;27;10;32;185
5671;1;2017/18;Aaron Jackson; F;Houston Rockets;4608;1;3;1;0;0;1;8
5672;1;2017/18;Brandan Wright; F;Houston Rockets;490461;28;95;13;13;26;8;139
5673;1;2017/18;Chinanu Onuaku; C;Houston Rockets;1312611;1;4;1;0;0;3;4
5674;1;2017/18;Chris Paul; PG;Houston Rockets;24599495;58;313;457;96;14;128;1081
5675;1;2017/18;Clint Capela; C;Houston Rockets;2334528;74;802;68;58;137;103;1026
5676;1;2017/18;Eric Gordon; SG;Houston Rockets;12943020;69;170;154;44;27;130;1243
5677;1;2017/18;Gerald Green; G;Houston Rockets;872854;41;133;25;24;15;31;497
5678;1;2017/18;James Harden; SG;Houston Rockets;28299399;72;389;630;126;50;315;2191
5679;1;2017/18;Joe Johnson; G;Houston Rockets;473835;55;172;83;18;7;49;372
5680;1;2017/18;Luc Mbah a Moute; F;Houston Rockets;1471382;61;186;55;72;25;68;460
5681;1;2017/18;Nene Hilario; C;Houston Rockets;3477600;52;176;45;28;14;38;340
5682;1;2017/18;P.J. Tucker; PF;Houston Rockets;7590035;82;457;77;78;26;74;502
5683;1;2017/18;Ryan Anderson; PF;Houston Rockets;19578455;66;331;60;24;21;42;617
5684;1;2017/18;Tarik Black; F;Houston Rockets;3290000;51;163;13;21;30;35;180
5685;1;2017/18;Tim Quarterman; G;Houston Rockets;96406;3;3;1;0;0;2;4
5686;1;2017/18;Trevor Ariza; SF;Houston Rockets;7420912;67;294;105;98;13;52;782
5687;1;2017/18;Zhou Qi; C;Houston Rockets;815615;18;22;2;2;14;10;22
5944;1;2018/19;Chris Paul; PG;Houston Rockets;35654150;58;265;473;114;18;152;906
5952;1;2018/19;James Harden; SG;Houston Rockets;30421854;78;518;586;158;58;387;2818
6022;1;2018/19;Clint Capela; C;Houston Rockets;13793104;67;848;96;44;102;94;1114
6025;1;2018/19;Eric Gordon; SG;Houston Rockets;13500375;68;148;129;41;27;90;1103
6051;1;2018/19;Iman Shumpert; G;Houston Rockets;11011234;62;183;112;59;24;50;465
6083;1;2018/19;P.J. Tucker; PF;Houston Rockets;7969537;82;479;96;132;39;63;601
6153;1;2018/19;Nene Hilario; C;Houston Rockets;3651480;42;123;26;18;15;11;151
6285;1;2018/19;Carmelo Anthony; PF;Houston Rockets;1512601;10;54;5;4;7;8;134
6286;1;2018/19;Gerald Green; G;Houston Rockets;1512601;73;182;40;33;27;55;675
6318;1;2018/19;Zhou Qi; C;Houston Rockets;1378242;1;0;0;0;0;0;2
6339;1;2018/19;Austin Rivers; SG;Houston Rockets;922943;76;162;167;47;23;68;618
6350;1;2018/19;Isaiah Hartenstein; C;Houston Rockets;838464;28;47;15;7;12;13;53
6356;1;2018/19;Kenneth Faried; F;Houston Rockets;683661;37;250;20;17;23;33;384
6358;1;2018/19;Gary Clark; F;Houston Rockets;596873;51;116;18;20;26;7;148
6373;1;2018/19;Danuel House Jr.; SF;Houston Rockets;247827;39;140;40;21;11;35;366
6380;1;2018/19;Chris Chiozza; G;Houston Rockets;90005;7;4;4;1;1;1;6
6395;1;2019/20;Russell Westbrook; PG;Houston Rockets;38506482;57;451;401;93;20;255;1553
6396;1;2019/20;James Harden; SG;Houston Rockets;38199000;68;446;512;125;60;308;2335
6468;1;2019/20;Clint Capela; C;Houston Rockets;14896552;39;537;48;33;72;63;543
6472;1;2019/20;Eric Gordon; SG;Houston Rockets;14057730;36;71;54;23;13;43;520
6492;1;2019/20;Robert Covington; PF;Houston Rockets;11301219;70;463;88;115;93;103;870
6523;1;2019/20;P.J. Tucker; PF;Houston Rockets;8349039;72;476;115;77;36;72;500
6589;1;2019/20;Luc Mbah a Moute; F;Houston Rockets;4320500;3;2;0;2;0;1;5
6613;1;2019/20;Danuel House Jr.; SF;Houston Rockets;3540000;63;267;85;67;34;54;662
6669;1;2019/20;Austin Rivers; SG;Houston Rockets;2147317;68;175;113;49;10;50;596
6674;1;2019/20;Ben McLemore; SG;Houston Rockets;2028594;71;157;58;45;16;50;715
6689;1;2019/20;Bruno Caboclo; F;Houston Rockets;1845301;30;60;12;15;17;13;90
6721;1;2019/20;Ryan Anderson; PF;Houston Rockets;1620564;2;7;2;1;0;1;5
6722;1;2019/20;Thabo Sefolosha; F;Houston Rockets;1620564;41;93;25;24;12;15;92
6723;1;2019/20;Tyson Chandler; C;Houston Rockets;1620564;26;66;6;6;8;8;34
6764;1;2019/20;Isaiah Hartenstein; C;Houston Rockets;1416852;23;90;18;9;12;16;107
6813;1;2019/20;Chris Clemons; G;Houston Rockets;563347;33;30;27;9;6;19;161
6817;1;2019/20;DeMarre Carroll; F;Houston Rockets;512721;24;55;25;8;5;17;87
6820;1;2019/20;Jeff Green; PF;Houston Rockets;439475;48;133;50;26;19;42;453
6835;1;2020/21;John Wall; PG;Houston Rockets;41254920;40;129;275;42;31;141;823
6896;1;2020/21;Eric Gordon; SG;Houston Rockets;16869276;27;58;71;14;13;51;481
6917;1;2020/21;Christian Wood; C;Houston Rockets;13015873;41;395;71;34;48;80;860
6923;1;2020/21;Kelly Olynyk; PF;Houston Rockets;12598243;70;489;203;79;42;126;945
6993;1;2020/21;D.J. Augustin; G;Houston Rockets;6666667;57;94;188;28;1;65;438
7004;1;2020/21;Avery Bradley; PG;Houston Rockets;5635000;27;57;46;21;3;28;173
7030;1;2020/21;D.J. Wilson; F;Houston Rockets;4548280;35;112;23;11;16;22;183
7057;1;2020/21;Danuel House Jr.; SF;Houston Rockets;3717000;36;132;69;20;16;36;315
7126;1;2020/21;Bruno Caboclo; F;Houston Rockets;2028594;6;14;1;0;2;4;17
7138;1;2020/21;David Nwaba; SF;Houston Rockets;1824003;30;118;31;30;21;17;276
7147;1;2020/21;Kevin Porter Jr.; SG;Houston Rockets;1717981;26;99;164;19;8;91;431
7166;1;2020/21;Sterling Brown; SF;Houston Rockets;1620564;51;224;72;38;12;41;416
7226;1;2020/21;DaQuan Jeffries; SG;Houston Rockets;1445697;31;71;22;15;10;14;127
7227;1;2020/21;Jae'Sean Tate; SF;Houston Rockets;1445697;70;374;178;85;36;98;794
7251;1;2020/21;Kenyon Martin Jr.; F;Houston Rockets;898310;45;242;48;30;41;38;419
7271;1;2020/21;Khyri Thomas; SG;Houston Rockets;250000;5;18;25;9;6;6;82
7350;1;2021/22;Eric Gordon;SG;Houston Rockets;18218818;57;113;154;28;18;107;765
7380;1;2021/22;Christian Wood;C;Houston Rockets;13666667;68;686;155;54;65;126;1218
7424;1;2021/22;Jalen Green;SG;Houston Rockets;8992200;67;226;176;44;18;135;1157
7470;1;2021/22;Dennis Schroder;PG;Houston Rockets;5890000;64;214;296;53;8;143;867
7502;1;2021/22;David Nwaba;SF;Houston Rockets;4650000;46;151;35;28;20;21;233
7553;1;2021/22;Alperen Sengun;C;Houston Rockets;3214680;72;393;185;59;68;145;692
7582;1;2021/22;Usman Garuba;PF;Houston Rockets;2353320;24;83;17;10;11;6;48
7587;1;2021/22;Josh Christopher;SG;Houston Rockets;2259240;74;186;150;65;13;114;587
7610;1;2021/22;Garrison Mathews;SG;Houston Rockets;2000000;65;190;64;57;24;41;650
7638;1;2021/22;Kevin Porter Jr.;SG;Houston Rockets;1782621;61;267;376;69;22;192;949
7639;1;2021/22;Bruno Fernando;PF;Houston Rockets;1782621;30;55;7;1;11;14;88
7727;1;2021/22;Kenyon Martin Jr.;F;Houston Rockets;1517981;79;297;101;34;40;60;696
7728;1;2021/22;Jae'Sean Tate;SF;Houston Rockets;1517981;78;420;222;72;41;139;919
7759;1;2021/22;Daishen Nix;SG;Houston Rockets;612000;24;33;40;15;0;26;77
50;1;2003/04;Lorenzen Wright; PF;Memphis Grizzlies;6600000;65;445;71;45;58;77;610
58;1;2003/04;Bo Outlaw; PF;Memphis Grizzlies;5955000;82;342;90;73;70;69;379
88;1;2003/04;Stromile Swift; PF;Memphis Grizzlies;4614000;77;378;38;56;118;88;727
109;1;2003/04;Pau Gasol; PF;Memphis Grizzlies;3417000;78;600;198;44;132;187;1381
110;1;2003/04;Mike Miller; SG;Memphis Grizzlies;3380000;65;216;232;59;14;107;722
132;1;2003/04;Shane Battier; SF;Memphis Grizzlies;2533000;79;303;101;101;58;56;669
